#,Repositorio,Enlace GitHub,Uso Principal,H2O,Trading,Agro,Score,
33,**Fincept-Corporation/FinceptTerminal**,https://github.com/Fincept-Corporation/FinceptTerminal,Terminal financiero análisis,🟢,,🟡,89,
34,**ruc-datalab/DeepAnalyze**,https://github.com/ruc-datalab/DeepAnalyze,Análisis profundo datos IA,🟡,🔴,🔴,89,
35,**InsForge/InsForge**,https://github.com/InsForge/InsForge,Business Intelligence IA,🟡,🔴,,89,
36,**anus-dev/ANUS**,https://github.com/anus-dev/ANUS,Framework agentes autónomos,🟡,🔴,🟡,88,
37,**LearningCircuit/local-deep-research**,https://github.com/LearningCircuit/local-deep-research,Investigación profunda IA local,🟡,🔴,🟡,88,
38,**VoltAgent/voltagent**,https://github.com/VoltAgent/voltagent,Framework agentes IA memoria,🟡,🔴,🟡,88,
39,**volcengine/OpenViking**,https://github.com/volcengine/OpenViking,Framework multimodal,🟡,,🔴,87,
40,**panaversity/learn-agentic-ai**,https://github.com/panaversity/learn-agentic-ai,Curso fundamentos IA agéntica,🟡,,🟡,87,
41,**chrisworsey55/atlas-gic**,https://github.com/chrisworsey55/atlas-gic,Agentes trading auto-mejorables,🟢,🔴,🟢,87,
42,**open-experiments/agent-exchange**,https://github.com/open-experiments/agent-exchange,Plataforma intercambio agentes,🟡,🔴,🟡,86,
43,**cocoindex-io/cocoindex**,https://github.com/cocoindex-io/cocoindex,Indexación búsqueda semántica,🟡,🟡,🟡,86,
44,**bytedance/UI-TARS-desktop**,https://github.com/bytedance/UI-TARS-desktop,Testing automatización UI,🟡,🟢,🟡,85,
45,**cosmicstack-labs/mercury-agent**,https://github.com/cosmicstack-labs/mercury-agent,Agentes automatización tareas,🟡,🔴,🟡,85,
46,**anomalyco/opencode**,https://github.com/anomalyco/opencode,Generación análisis código IA,🟡,,🟡,85,
47,**google/skills**,https://github.com/google/skills,Framework habilidades agentes,🟡,🟡,🟡,84,
48,**AlexsJones/llmfit**,https://github.com/AlexsJones/llmfit,Evaluación ajuste modelos LLM,🟡,,🟡,84,
49,**jpmorganchase/python-training**,https://github.com/jpmorganchase/python-training,Entrenamiento Python JPMorgan,🟡,🟡,🟡,83,
50,**Avik-Jain/100-Days-Of-ML-Code**,https://github.com/Avik-Jain/100-Days-Of-ML-Code,Roadmap 100 días ML,🟢,🔴,🟡,82,
51,**kitft/natural_language_autoencoders**,https://github.com/kitft/natural_language_autoencoders,Autoencoders lenguaje natural,🟢,🟡,🟡,82,
52,**tractorjuice/arc-kit**,https://github.com/tractorjuice/arc-kit,Toolkit razonamiento abstracto,🟢,,🟢,82,
53,**Vrun-design/openflowkit**,https://github.com/Vrun-design/openflowkit,Diseño flujos trabajo visuales,🟡,,🟡,81,
54,**owainlewis/awesome-artificial-intelligence**,https://github.com/owainlewis/awesome-artificial-intelligence,Lista masiva recursos IA,🟡,🟡,🟡,81,
55,**fendouai/CodexSaver**,https://github.com/fendouai/CodexSaver,Guardar código generado IA,🟡,,🟡,82,
56,**zhangfengcdt/memoir**,https://github.com/zhangfengcdt/memoir,Sistema memoria agentes IA,🟡,,🟡,81,
57,**ChromeDevTools/chrome-devtools-mcp**,https://github.com/ChromeDevTools/chrome-devtools-mcp,Chrome DevTools MCP,🟡,🟡,🟡,80,
58,**warpdotdev/warp**,https://github.com/warpdotdev/warp,Terminal moderno IA,🟡,🟡,🟡,80,
59,**Hmbown/DeepSeek-TUI**,https://github.com/Hmbown/DeepSeek-TUI,Terminal UI DeepSeek,🟡,🟡,🟢,79,
60,**ruzin/stenoai**,https://github.com/ruzin/stenoai,Transcripción análisis audio,🟡,🟡,🟢,80,
61,**jordan-gibbs/hyperresearch**,https://github.com/jordan-gibbs/hyperresearch,Investigación cualitativa,🟢,🟡,🟡,79,
62,**PurpleAILAB/Decepticon**,https://github.com/PurpleAILAB/Decepticon,Red-teaming sistemas IA,🟡,🟡,🟢,78,
63,**whisper-money/whisper-money**,https://github.com/whisper-money/whisper-money,Análisis financiero audio,🟢,🔴,🟢,78,
64,**Lum1104/Understand-Anything**,https://github.com/Lum1104/Understand-Anything,Comprensión multimodal,🟡,,🟡,78,
65,**ddean2009/MoneyPrinterPlus**,https://github.com/ddean2009/MoneyPrinterPlus,Generación videos financieros,🟢,🟡,🟢,77,
66,**braedonsaunders/codeflow**,https://github.com/braedonsaunders/codeflow,Visualización flujos código,🟢,🟡,🟡,77,
67,**aristocratos/bashtop**,https://github.com/aristocratos/bashtop,Monitor recursos terminal,🟡,🟡,🟡,76,
68,**open-gitagent/gitagent-protocol**,https://github.com/open-gitagent/gitagent-protocol,Protocolo agentes Git,🟡,🟡,🟡,76,
69,**PentHertz/LUKSbox**,https://github.com/PentHertz/LUKSbox,Gestión cifrado LUKS,🟡,,🟡,76,
70,**shiyu-coder/Kronos**,https://github.com/shiyu-coder/Kronos,Framework agendamiento tareas,🟡,🟡,🟡,75,
71,**DigitalPlatDev/FreeDomain**,https://github.com/DigitalPlatDev/FreeDomain,Gestión dominios gratuitos,🟢,🟢,🟢,75,
72,**vercel-labs/zero-native**,https://github.com/vercel-labs/zero-native,DB tiempo real Vercel,🟢,🟡,🟢,75,
69,**[owainlewis/awesome-artificial-intelligence](https://github.com/owainlewis/awesome-artificial-intelligence)**,Lista masiva de recursos de IA,🟡,🟡,🟡,**81**,,
106,**ComposioHQ/agent-orchestrator**,https://github.com/ComposioHQ/agent-orchestrator,Orquestador de agentes IA con integraciones de herramientas,🟡,🟡,🟡,**89**,
107,**AdguardTeam/AdGuardHome**,https://github.com/AdguardTeam/AdGuardHome,Bloqueador de anuncios y tracking a nivel de red,🟡,🟡,🟡,**88**,
108,**mattpocock/skills**,https://github.com/mattpocock/skills,Tutoriales avanzados de TypeScript/JavaScript,🟡,🟡,🟡,**88**,
109,**harvard-edge/cs249r_book**,https://github.com/harvard-edge/cs249r_book,Material educativo Harvard: sistemas de ML en producción,🟡,🟡,🟡,**87**,
110,**CodebuffAI/codebuff**,https://github.com/CodebuffAI/codebuff,Herramienta de revisión y refactorización de código con IA,🟡,🟡,🟡,**87**,
111,**virattt/dexter**,https://github.com/virattt/dexter,Framework de agentes IA para automatización de tareas,🟡,🟡,🟡,**86**,
112,**anyproto/anytype-ts**,https://github.com/anyproto/anytype-ts,Base de conocimiento local-first con sincronización P2P,🟡,🟡,🟡,**85**,
113,**mukul975/Anthropic-Cybersecurity-Skills**,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,Prompts y habilidades de ciberseguridad para Claude,🟡,🟡,🟡,**84**,
114,**emrekybs/Pip-Intel**,https://github.com/emrekybs/Pip-Intel,Escáner de seguridad e inteligencia para paquetes Python,🟡,🟡,🟡,**83**,
115,**rawfilejson/awesome-osint-arsenal**,https://github.com/rawfilejson/awesome-osint-arsenal,Colección curada de herramientas OSINT/inteligencia abierta,🟡,🟡,🟡,**82**,
116,**karakeep-app/karakeep**,https://github.com/karakeep-app/karakeep,Gestor de bookmarks y conocimiento self-hosted,🟡,🟡,🟡,**81**,
